source,dataset,seed,n,dimension,classes,metric,k,loo_error,loo_indicator_rate,replace_vulnerability,near_zero_margin_mass,mean_abs_margin,diagnostic_f1,duplicate_count
sklearn_builtin,iris,11,80,4,2,manhattan,15,0.0,0.0,0.0,0.0,15.0,1.0,1
sklearn_builtin,iris,11,80,4,2,cosine,1,0.0,0.0,1.0,1.0,1.0,1.0,1
sklearn_builtin,iris,11,80,4,2,cosine,3,0.0,0.0,0.0,0.0,3.0,1.0,1
sklearn_builtin,iris,11,80,4,2,cosine,5,0.0,0.0,0.0,0.0,5.0,1.0,1
sklearn_builtin,iris,11,80,4,2,cosine,7,0.0,0.0,0.0,0.0,7.0,1.0,1
sklearn_builtin,iris,11,80,4,2,cosine,9,0.0,0.0,0.0,0.0,9.0,1.0,1
sklearn_builtin,iris,11,80,4,2,cosine,11,0.0,0.0,0.0,0.0,11.0,1.0,1
sklearn_builtin,iris,11,80,4,2,cosine,15,0.0,0.0,0.0,0.0,14.925,1.0,1
sklearn_builtin,wine,0,80,13,2,euclidean,1,0.0125,0.0125,1.0,1.0,1.0,1.0,0
sklearn_builtin,wine,0,80,13,2,euclidean,3,0.0125,0.0125,0.025,0.025,2.95,1.0,0
sklearn_builtin,wine,0,80,13,2,euclidean,5,0.0125,0.0,0.0125,0.0125,4.875,1.0,0
