generator,jitter,seed,k,loo_error,loo_indicator_rate,replace_vulnerability,near_zero_margin_mass,mean_abs_margin,diagnostic_f1
blobs,0.01,6,3,0.0,0.0,0.0,0.0,3.0,1.0
blobs,0.01,6,5,0.0,0.0,0.0,0.0,4.983333333333333,1.0
blobs,0.01,6,7,0.0,0.0,0.0,0.0,6.916666666666667,1.0
blobs,0.01,6,11,0.0,0.0,0.0,0.0,10.733333333333333,1.0
blobs,0.01,7,1,0.008333333333333333,0.008333333333333333,1.0,1.0,1.0,1.0
blobs,0.01,7,3,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,2.9833333333333334,1.0
blobs,0.01,7,5,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,4.966666666666667,1.0
blobs,0.01,7,7,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,6.933333333333334,1.0
blobs,0.01,7,11,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,10.9,1.0
blobs,0.1,0,1,0.03333333333333333,0.03333333333333333,1.0,1.0,1.0,1.0
blobs,0.1,0,3,0.06666666666666667,0.041666666666666664,0.13333333333333333,0.13333333333333333,2.7333333333333334,1.0
blobs,0.1,0,5,0.08333333333333333,0.041666666666666664,0.1,0.1,4.383333333333334,1.0
blobs,0.1,0,7,0.11666666666666667,0.05,0.1,0.1,5.95,1.0
blobs,0.1,0,11,0.10833333333333334,0.016666666666666666,0.075,0.075,9.066666666666666,1.0
blobs,0.1,1,1,0.0,0.0,1.0,1.0,1.0,1.0
blobs,0.1,1,3,0.0,0.0,0.0,0.0,3.0,1.0
blobs,0.1,1,5,0.0,0.0,0.0,0.0,5.0,1.0
blobs,0.1,1,7,0.0,0.0,0.0,0.0,7.0,1.0
blobs,0.1,1,11,0.0,0.0,0.0,0.0,11.0,1.0
blobs,0.1,2,1,0.008333333333333333,0.008333333333333333,1.0,1.0,1.0,1.0
blobs,0.1,2,3,0.0,0.0,0.016666666666666666,0.016666666666666666,2.966666666666667,1.0
blobs,0.1,2,5,0.0,0.0,0.0,0.0,4.933333333333334,1.0
blobs,0.1,2,7,0.0,0.0,0.0,0.0,6.916666666666667,1.0
blobs,0.1,2,11,0.0,0.0,0.0,0.0,10.85,1.0
blobs,0.1,3,1,0.025,0.025,1.0,1.0,1.0,1.0
blobs,0.1,3,3,0.008333333333333333,0.008333333333333333,0.025,0.025,2.95,1.0
blobs,0.1,3,5,0.016666666666666666,0.008333333333333333,0.016666666666666666,0.016666666666666666,4.883333333333334,1.0
blobs,0.1,3,7,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,6.85,1.0
blobs,0.1,3,11,0.016666666666666666,0.0,0.008333333333333333,0.008333333333333333,10.633333333333333,1.0
blobs,0.1,4,1,0.13333333333333333,0.13333333333333333,1.0,1.0,1.0,1.0
blobs,0.1,4,3,0.075,0.025,0.19166666666666668,0.19166666666666668,2.6166666666666667,1.0
blobs,0.1,4,5,0.09166666666666666,0.025,0.075,0.075,4.316666666666666,1.0
blobs,0.1,4,7,0.09166666666666666,0.016666666666666666,0.058333333333333334,0.058333333333333334,5.866666666666666,1.0
blobs,0.1,4,11,0.10833333333333334,0.025,0.05,0.05,8.666666666666666,1.0
blobs,0.1,5,1,0.5333333333333333,0.5333333333333333,1.0,1.0,1.0,1.0
blobs,0.1,5,3,0.5083333333333333,0.225,0.7583333333333333,0.7583333333333333,1.4833333333333334,1.0
blobs,0.1,5,5,0.5083333333333333,0.16666666666666666,0.5666666666666667,0.5666666666666667,2.0166666666666666,1.0
blobs,0.1,5,7,0.4666666666666667,0.1,0.45,0.45,2.466666666666667,1.0
blobs,0.1,5,11,0.4583333333333333,0.08333333333333333,0.35,0.35,3.3666666666666667,1.0
blobs,0.1,6,1,0.0,0.0,1.0,1.0,1.0,1.0
blobs,0.1,6,3,0.0,0.0,0.0,0.0,3.0,1.0
blobs,0.1,6,5,0.0,0.0,0.0,0.0,5.0,1.0
blobs,0.1,6,7,0.0,0.0,0.0,0.0,6.916666666666667,1.0
blobs,0.1,6,11,0.0,0.0,0.0,0.0,10.683333333333334,1.0
blobs,0.1,7,1,0.016666666666666666,0.016666666666666666,1.0,1.0,1.0,1.0
blobs,0.1,7,3,0.008333333333333333,0.0,0.016666666666666666,0.016666666666666666,2.966666666666667,1.0
blobs,0.1,7,5,0.008333333333333333,0.0,0.0,0.0,4.966666666666667,1.0
blobs,0.1,7,7,0.008333333333333333,0.0,0.0,0.0,6.966666666666667,1.0
blobs,0.1,7,11,0.008333333333333333,0.0,0.0,0.0,10.916666666666666,1.0
moons,0.0,0,1,0.05,0.05,1.0,1.0,1.0,1.0
moons,0.0,0,3,0.05,0.025,0.06666666666666667,0.06666666666666667,2.8666666666666667,1.0
moons,0.0,0,5,0.058333333333333334,0.016666666666666666,0.05,0.05,4.633333333333334,1.0
moons,0.0,0,7,0.058333333333333334,0.008333333333333333,0.03333333333333333,0.03333333333333333,6.4,1.0
moons,0.0,0,11,0.05,0.0,0.016666666666666666,0.016666666666666666,9.7,1.0
moons,0.0,1,1,0.041666666666666664,0.041666666666666664,1.0,1.0,1.0,1.0
moons,0.0,1,3,0.016666666666666666,0.008333333333333333,0.06666666666666667,0.06666666666666667,2.8666666666666667,1.0
moons,0.0,1,5,0.016666666666666666,0.008333333333333333,0.008333333333333333,0.008333333333333333,4.783333333333333,1.0
moons,0.0,1,7,0.03333333333333333,0.016666666666666666,0.025,0.025,6.433333333333334,1.0
moons,0.0,1,11,0.058333333333333334,0.016666666666666666,0.058333333333333334,0.058333333333333334,9.55,1.0
moons,0.0,2,1,0.016666666666666666,0.016666666666666666,1.0,1.0,1.0,1.0
moons,0.0,2,3,0.016666666666666666,0.008333333333333333,0.025,0.025,2.95,1.0
moons,0.0,2,5,0.016666666666666666,0.008333333333333333,0.008333333333333333,0.008333333333333333,4.816666666666666,1.0
moons,0.0,2,7,0.008333333333333333,0.0,0.016666666666666666,0.016666666666666666,6.583333333333333,1.0
moons,0.0,2,11,0.03333333333333333,0.016666666666666666,0.025,0.025,9.766666666666667,1.0
moons,0.0,3,1,0.041666666666666664,0.041666666666666664,1.0,1.0,1.0,1.0
moons,0.0,3,3,0.03333333333333333,0.008333333333333333,0.09166666666666666,0.09166666666666666,2.816666666666667,1.0
moons,0.0,3,5,0.041666666666666664,0.008333333333333333,0.03333333333333333,0.03333333333333333,4.566666666666666,1.0
moons,0.0,3,7,0.05,0.016666666666666666,0.025,0.025,6.266666666666667,1.0
moons,0.0,3,11,0.058333333333333334,0.016666666666666666,0.03333333333333333,0.03333333333333333,9.45,1.0
moons,0.0,4,1,0.025,0.025,1.0,1.0,1.0,1.0
moons,0.0,4,3,0.016666666666666666,0.008333333333333333,0.03333333333333333,0.03333333333333333,2.933333333333333,1.0
moons,0.0,4,5,0.016666666666666666,0.008333333333333333,0.025,0.025,4.816666666666666,1.0
moons,0.0,4,7,0.016666666666666666,0.0,0.008333333333333333,0.008333333333333333,6.666666666666667,1.0
moons,0.0,4,11,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,9.65,1.0
moons,0.0,5,1,0.08333333333333333,0.08333333333333333,1.0,1.0,1.0,1.0
moons,0.0,5,3,0.041666666666666664,0.016666666666666666,0.08333333333333333,0.08333333333333333,2.8333333333333335,1.0
moons,0.0,5,5,0.05,0.008333333333333333,0.058333333333333334,0.058333333333333334,4.65,1.0
moons,0.0,5,7,0.041666666666666664,0.016666666666666666,0.05,0.05,6.5,1.0
moons,0.0,5,11,0.05,0.008333333333333333,0.03333333333333333,0.03333333333333333,9.85,1.0
moons,0.0,6,1,0.03333333333333333,0.03333333333333333,1.0,1.0,1.0,1.0
moons,0.0,6,3,0.025,0.008333333333333333,0.03333333333333333,0.03333333333333333,2.933333333333333,1.0
moons,0.0,6,5,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666,4.833333333333333,1.0
moons,0.0,6,7,0.016666666666666666,0.0,0.008333333333333333,0.008333333333333333,6.75,1.0
moons,0.0,6,11,0.008333333333333333,0.0,0.0,0.0,10.3,1.0
moons,0.0,7,1,0.025,0.025,1.0,1.0,1.0,1.0
moons,0.0,7,3,0.016666666666666666,0.0,0.03333333333333333,0.03333333333333333,2.933333333333333,1.0
moons,0.0,7,5,0.016666666666666666,0.008333333333333333,0.016666666666666666,0.016666666666666666,4.816666666666666,1.0
moons,0.0,7,7,0.025,0.008333333333333333,0.025,0.025,6.633333333333334,1.0
moons,0.0,7,11,0.016666666666666666,0.0,0.008333333333333333,0.008333333333333333,9.95,1.0
moons,1e-08,0,1,0.05,0.05,1.0,1.0,1.0,1.0
moons,1e-08,0,3,0.05,0.025,0.06666666666666667,0.06666666666666667,2.8666666666666667,1.0
moons,1e-08,0,5,0.058333333333333334,0.016666666666666666,0.05,0.05,4.633333333333334,1.0
moons,1e-08,0,7,0.058333333333333334,0.008333333333333333,0.03333333333333333,0.03333333333333333,6.4,1.0
moons,1e-08,0,11,0.05,0.0,0.016666666666666666,0.016666666666666666,9.7,1.0
moons,1e-08,1,1,0.041666666666666664,0.041666666666666664,1.0,1.0,1.0,1.0
moons,1e-08,1,3,0.016666666666666666,0.008333333333333333,0.06666666666666667,0.06666666666666667,2.8666666666666667,1.0
moons,1e-08,1,5,0.016666666666666666,0.008333333333333333,0.008333333333333333,0.008333333333333333,4.783333333333333,1.0
moons,1e-08,1,7,0.03333333333333333,0.016666666666666666,0.025,0.025,6.433333333333334,1.0
moons,1e-08,1,11,0.058333333333333334,0.016666666666666666,0.058333333333333334,0.058333333333333334,9.55,1.0
moons,1e-08,2,1,0.016666666666666666,0.016666666666666666,1.0,1.0,1.0,1.0
